time,lap,distance,speed,throttle,brake,steering_angle,rpm,gear,lateral_g,longitudinal_g,gps_lat,gps_lon
0.000,1,0.0,42.1,0.0,0.0,2.1,6500,3,0.12,0.03,,
5.000,1,220.0,86.4,88.0,0.0,8.4,9100,4,0.42,0.18,,
10.000,1,470.0,104.2,96.0,0.0,13.2,10400,5,0.68,0.22,,
15.000,1,720.0,78.1,22.0,56.0,18.4,7600,3,0.74,-0.38,,
52.341,2,0.0,43.0,0.0,0.0,2.4,6550,3,0.13,0.03,,
57.300,2,220.0,88.1,91.0,0.0,7.9,9300,4,0.40,0.20,,
62.300,2,470.0,106.0,98.0,0.0,12.8,10600,5,0.66,0.24,,
67.300,2,720.0,80.2,18.0,52.0,17.1,7700,3,0.72,-0.34,,
104.225,3,0.0,43.7,0.0,0.0,2.0,6600,3,0.12,0.04,,
109.200,3,220.0,89.6,93.0,0.0,8.0,9400,4,0.43,0.22,,
114.200,3,470.0,108.3,97.0,0.0,34.0,10800,5,0.96,0.18,,
119.200,3,720.0,82.0,24.0,48.0,19.2,7900,3,0.78,-0.30,,
155.657,4,0.0,43.3,0.0,0.0,2.3,6580,3,0.13,0.04,,
160.600,4,220.0,88.8,92.0,0.0,7.6,9350,4,0.41,0.21,,
165.600,4,470.0,107.5,76.0,0.0,26.0,10550,5,0.91,0.20,,
170.600,4,720.0,83.1,72.0,14.0,-12.0,8300,4,0.25,-0.08,,
207.280,5,0.0,44.0,0.0,0.0,2.0,6650,3,0.12,0.05,,
212.250,5,220.0,90.2,94.0,0.0,7.2,9450,4,0.42,0.22,,
217.250,5,470.0,109.4,99.0,0.0,12.0,10900,5,0.64,0.25,,
222.250,5,720.0,84.0,28.0,46.0,16.8,8000,3,0.70,-0.28,,
258.556,6,0.0,44.4,0.0,0.0,1.9,6680,3,0.12,0.05,,
263.500,6,220.0,91.0,95.0,0.0,6.8,9500,4,0.40,0.23,,
268.500,6,470.0,110.1,100.0,0.0,11.4,11000,5,0.62,0.26,,
273.500,6,720.0,84.9,32.0,44.0,16.0,8050,3,0.68,-0.26,,
309.799,7,0.0,43.6,0.0,0.0,2.2,6620,3,0.12,0.04,,
314.750,7,220.0,89.3,91.0,0.0,8.2,9380,4,0.43,0.20,,
319.750,7,470.0,107.9,97.0,0.0,13.5,10750,5,0.67,0.22,,
324.750,7,720.0,81.6,20.0,50.0,17.9,7820,3,0.73,-0.32,,
361.316,8,0.0,43.9,0.0,0.0,2.0,6640,3,0.12,0.04,,
366.260,8,220.0,90.0,93.0,0.0,7.7,9420,4,0.41,0.21,,
371.260,8,470.0,108.7,98.0,0.0,12.4,10850,5,0.65,0.24,,
376.260,8,720.0,83.0,25.0,47.0,17.2,7950,3,0.71,-0.29,,
412.714,9,0.0,43.1,0.0,0.0,2.3,6570,3,0.13,0.03,,
417.700,9,220.0,88.2,89.0,0.0,8.7,9250,4,0.44,0.18,,
422.700,9,470.0,106.7,96.0,0.0,14.1,10650,5,0.69,0.20,,
427.700,9,720.0,80.8,16.0,54.0,18.7,7750,3,0.76,-0.35,,
464.406,10,0.0,43.8,0.0,0.0,2.1,6630,3,0.12,0.04,,
469.360,10,220.0,89.8,93.0,0.0,7.8,9410,4,0.41,0.22,,
474.360,10,470.0,108.5,98.0,0.0,12.6,10800,5,0.65,0.24,,
479.360,10,720.0,82.8,24.0,48.0,17.0,7900,3,0.72,-0.30,,

